1;1;AL00326LP;kis bambuszfutó 3x36lvs;0,33500;420;1;0,131;0,038;0,035
1;1;LDM406;kivi zacsiban x 9 AKCIÓS!;0,28300;100;1;0,180;0,100;0,090
1;1;71726;hatszögletes gyertya arany AKCIÓS!;0,11600;48;1;0,075;0,417;0,400
1;1;11CG0771C;szobafeny? cserép nélkül AKCIÓS;4,39000;4;6;0,289;0,672;0,464
1;1;11EG0346C/I;38lvs.állózöld DIFFENB.03.NY+04;4,39000;4;12;0,211;0,643;0,511
1;1;28LS0022/YELLOW;szalas félbársony rózsa AKCIÓS!;0,30400;12;48;0,297;0,049;0,037
1;1;27QH0430B;cukrozott bogyós koszorú AKCIÓS!;0,35300;12;12;0,198;0,118;0,089
1;1;P6/30M-3R BLUE;30M 3mm gyöngy AKCIÓ;0,29500;72;1;0,041;0,166;0,152
1;1;CB66401;120cm x223 ág feny?fa CRY.BLUE;11,69000;1;1;0,022;3,080;2,240
1;1;RJ6R09559;cukrozott glitt.körte 6/s AKCIÓS!;0,02700;48;1;0,160;0,312;0,208
1;1;FK5158;juharlevél girl+szeder AKCIÓS!;0,29000;6;12;0,190;0,277;0,166
1;1;WS28-39013;"3" sárga maci fiú, lány AKCIÓS!;0,02700;16;12;0,080;0,057;0,050
1;1;WS95-029544;11.5*14cm képkeret AKCIÓS!;0,02700;72;1;0,055;0,277;0,250
1;1;WS95-029546;5cm ékszertartó  AKCIÓS!;0,02700;72;1;0,049;0,347;0,319
1;1;CF13607;kartondoboz78*32*14cm.szétlap;1,05000;1;12;0,007;0,075;0,037
1;1;10864;kerámia angyal 4 gyertya AKCIÓS!;0,56700;36;1;0,050;0,040;0,020
1;1;10914;kerámia repül? mikulás AKCIÓS!;1,40700;24;1;0,070;0,050;0,030
1;1;60405;30 cm barack ruhás baba AKCIÓS!;3,00000;48;1;0,136;0,830;0,710
1;1;60417;30 cm fehér ruhás baba AKCIÓS!;3,00000;48;1;0,136;0,830;0,710
1;1;16NX1587E;pick f?vel+tojás+nárcisz SELEJT;0,02500;8;72;0,241;0,016;0,009
1;1;AK03227;borostyánlvs-es ág x45 LV0127;0,29000;12;24;0,198;0,048;0,029
1;1;AJ00862TFLP/RT0751A;szegf? CR NAGYKARTONRA ADDDDD;0,04400;3500;1;0,195;0,006;0,005
1;1;AJ00862TFLP/RT0091;szegf? WHI NAGYKARTONRA ADDDDD;0,04400;3500;1;0,195;0,006;0,005
1;1;SE11925;6cm kis vödör AKCIÓS!;0,02800;36;8;0,057;0,060;0,050
1;1;SE11925-CAN;6cm kis vödör gyertyával AKCIÓS!;0,03300;36;8;0,057;0,079;0,069
1;1;HC30913;papir rózsa cs.x8 AKCIÓS!;0,15000;30;24;0,220;0,023;0,016
