LDM406;kivi zacsiban x 9 AKCIÓS!;0,28300;100;1;0,180;US;0,100;0,090
71726;hatszögletes gyertya arany AKCIÓS!;0,11600;48;1;0,075;UC;0,417;0,400
11CG0771C;szobafenyő cserép nélkül AKCIÓS;4,39000;4;6;0,289;US;0,672;0,464
11EG0346C/I;38lvs.állózöld DIFFENB.03.NY+04;4,39000;4;12;0,211;US;0,643;0,511
28LS0022/YELLOW;szalas félbársony rózsa AKCIÓS!;0,30400;12;48;0,297;US;0,049;0,037
27QH0430B;cukrozott bogyós koszorú AKCIÓS!;0,35300;12;12;0,198;UK;0,118;0,089
P6/30M-3R BLUE;30M 3mm gyöngy AKCIÓ;0,29500;72;1;0,041;UK;0,166;0,152
CB66401;120cm x223 ág fenyőfa CRY.BLUE;11,69000;1;1;0,022;TM;3,080;2,240
RJ6R09559;cukrozott glitt.körte 6/s AKCIÓS!;0,02700;48;1;0,160;RJ;0,312;0,208
FK5158;juharlevél girl+szeder AKCIÓS!;0,29000;6;12;0,190;RJ;0,277;0,166
WS28-39013;"3" sárga maci fiú, lány AKCIÓS!;0,02700;16;12;0,080;WS;0,057;0,050
WS95-029544;11.5*14cm képkeret AKCIÓS!;0,02700;72;1;0,055;WS;0,277;0,250
WS95-029546;5cm ékszertartó  AKCIÓS!;0,02700;72;1;0,049;WS;0,347;0,319
CF13607;kartondoboz78*32*14cm.szétlap;1,05000;1;12;0,007;DT;0,075;0,037
10864;kerámia angyal 4 gyertya AKCIÓS!;0,56700;36;1;0,050;UP;0,040;0,020
10914;kerámia repülő mikulás AKCIÓS!;1,40700;24;1;0,070;UK;0,050;0,030
60405;30 cm barack ruhás baba AKCIÓS!;3,00000;48;1;0,136;UP;0,830;0,710
60417;30 cm fehér ruhás baba AKCIÓS!;3,00000;48;1;0,136;UP;0,830;0,710
16NX1587E;pick fűvel+tojás+nárcisz SELEJT;0,02500;8;72;0,241;UH;0,016;0,009
AK03227;borostyánlvs-es ág x45 LV0127;0,29000;12;24;0,198;DS;0,048;0,029
AJ00862TFLP/RT0751A;szegfű CR NAGYKARTONRA ADDDDD;0,04400;3500;1;0,195;DS;0,006;0,005
